Resuming from checkpoint: checkpoints/step_031000
  Resumed at step 31000

============================================================
  Unrealistic 187M — Training
  Parameters: 189,748,992
  Dtype: bfloat16
  Optimizer: AdamW (mlx)
  Memory: 531 MB
============================================================

step 33,340 | loss 1.9534 | lr 7.55e-05 | 796 tok/s
step 33,350 | loss 1.6249 | lr 7.54e-05 | 920 tok/s
step 33,360 | loss 1.6758 | lr 7.53e-05 | 931 tok/s
step 33,370 | loss 1.7064 | lr 7.53e-05 | 948 tok/s
step 33,380 | loss 1.8836 | lr 7.52e-05 | 877 tok/s
step 33,390 | loss 1.8684 | lr 7.51e-05 | 911 tok/s
step 33,400 | loss 1.7340 | lr 7.50e-05 | 885 tok/s
step 33,410 | loss 1.7895 | lr 7.49e-05 | 867 tok/s
step 33,420 | loss 1.6833 | lr 7.48e-05 | 919 tok/s
step 33,430 | loss 2.1870 | lr 7.48e-05 | 886 tok/s
step 33,440 | loss 1.6186 | lr 7.47e-05 | 903 tok/s
step 33,450 | loss 1.7141 | lr 7.46e-05 | 920 tok/s
step 33,460 | loss 1.6510 | lr 7.45e-05 | 831 tok/s
step 33,470 | loss 1.7639 | lr 7.44e-05 | 756 tok/s
step 33,480 | loss 1.8057 | lr 7.44e-05 | 893 tok/s
step 33,490 | loss 1.6620 | lr 7.43e-05 | 779 tok/s
step 33,500 | loss 1.7911 | lr 7.42e-05 | 714 tok/s
  [eval] step 33500 | val_loss 1.7624 | ppl 5.83
step 33,510 | loss 1.9606 | lr 7.41e-05 | 311 tok/s
step 33,520 | loss 1.7961 | lr 7.40e-05 | 828 tok/s
step 33,530 | loss 1.6691 | lr 7.39e-05 | 879 tok/s
step 33,540 | loss 1.7964 | lr 7.39e-05 | 919 tok/s
step 33,550 | loss 1.7112 | lr 7.38e-05 | 863 tok/s
step 33,560 | loss 1.7541 | lr 7.37e-05 | 845 tok/s
step 33,570 | loss 1.9178 | lr 7.36e-05 | 861 tok/s
step 33,580 | loss 1.7547 | lr 7.35e-05 | 868 tok/s
step 33,590 | loss 1.9212 | lr 7.35e-05 | 875 tok/s
step 33,600 | loss 1.8515 | lr 7.34e-05 | 718 tok/s
step 33,610 | loss 1.6988 | lr 7.33e-05 | 765 tok/s
step 33,620 | loss 1.8861 | lr 7.32e-05 | 802 tok/s
step 33,630 | loss 1.6740 | lr 7.31e-05 | 832 tok/s
step 33,640 | loss 1.7788 | lr 7.31e-05 | 915 tok/s
step 33,650 | loss 1.7957 | lr 7.30e-05 | 865 tok/s
step 33,660 | loss 1.7802 | lr 7.29e-05 | 826 tok/s
step 33,670 | loss 1.9361 | lr 7.28e-05 | 808 tok/s
step 33,680 | loss 1.6793 | lr 7.27e-05 | 921 tok/s
step 33,690 | loss 1.6948 | lr 7.26e-05 | 897 tok/s
step 33,700 | loss 1.9865 | lr 7.26e-05 | 862 tok/s
step 33,710 | loss 1.6236 | lr 7.25e-05 | 925 tok/s
step 33,720 | loss 2.0086 | lr 7.24e-05 | 936 tok/s
step 33,730 | loss 1.7105 | lr 7.23e-05 | 880 tok/s
step 33,740 | loss 1.7544 | lr 7.22e-05 | 930 tok/s
step 33,750 | loss 1.7419 | lr 7.22e-05 | 810 tok/s
step 33,760 | loss 1.8744 | lr 7.21e-05 | 755 tok/s
step 33,770 | loss 1.7416 | lr 7.20e-05 | 728 tok/s
step 33,780 | loss 1.7225 | lr 7.19e-05 | 753 tok/s
step 33,790 | loss 2.0070 | lr 7.18e-05 | 773 tok/s
step 33,800 | loss 1.6187 | lr 7.18e-05 | 801 tok/s
step 33,810 | loss 1.5738 | lr 7.17e-05 | 770 tok/s
step 33,820 | loss 1.7629 | lr 7.16e-05 | 843 tok/s
step 33,830 | loss 1.9208 | lr 7.15e-05 | 814 tok/s
step 33,840 | loss 1.6938 | lr 7.14e-05 | 902 tok/s
step 33,850 | loss 1.8532 | lr 7.14e-05 | 810 tok/s
step 33,860 | loss 1.9308 | lr 7.13e-05 | 832 tok/s
step 33,870 | loss 1.7575 | lr 7.12e-05 | 932 tok/s
step 33,880 | loss 1.6697 | lr 7.11e-05 | 929 tok/s
step 33,890 | loss 1.7026 | lr 7.10e-05 | 949 tok/s
step 33,900 | loss 1.5085 | lr 7.09e-05 | 950 tok/s
step 33,910 | loss 1.4576 | lr 7.09e-05 | 909 tok/s
step 33,920 | loss 1.7161 | lr 7.08e-05 | 820 tok/s
step 33,930 | loss 1.8246 | lr 7.07e-05 | 822 tok/s
step 33,940 | loss 1.6209 | lr 7.06e-05 | 879 tok/s
step 33,950 | loss 1.7592 | lr 7.05e-05 | 921 tok/s
step 33,960 | loss 1.8807 | lr 7.05e-05 | 851 tok/s
step 33,970 | loss 1.6263 | lr 7.04e-05 | 921 tok/s
step 33,980 | loss 1.7643 | lr 7.03e-05 | 932 tok/s
step 33,990 | loss 1.5066 | lr 7.02e-05 | 839 tok/s
