Resuming from checkpoint: checkpoints/step_011000
  Resumed at step 11000

============================================================
  Unrealistic 187M — Training
  Parameters: 189,748,992
  Dtype: bfloat16
  Optimizer: AdamW (mlx)
  Micro-batch: 1 × 8 accum
  Effective batch: 8
  Memory: 536 MB
============================================================

step 11,690 | loss 4.0126 | lr 1.62e-04 | 1340 tok/s | fwd_bwd 17ms clip 20ms optim 111ms step 6106ms mem 1493/3928MB
step 11,700 | loss 4.1671 | lr 1.62e-04 | 1343 tok/s | fwd_bwd 12ms clip 20ms optim 111ms step 6091ms mem 1493/3928MB
step 11,710 | loss 4.6758 | lr 1.61e-04 | 1340 tok/s | fwd_bwd 5ms clip 20ms optim 111ms step 6093ms mem 1493/3928MB
step 11,720 | loss 4.0820 | lr 1.61e-04 | 1341 tok/s | fwd_bwd 10ms clip 20ms optim 112ms step 6083ms mem 1452/3928MB
step 11,730 | loss 4.3450 | lr 1.61e-04 | 1341 tok/s | fwd_bwd 8ms clip 20ms optim 111ms step 6084ms mem 1451/3928MB
step 11,740 | loss 4.4244 | lr 1.61e-04 | 1343 tok/s | fwd_bwd 10ms clip 20ms optim 111ms step 6082ms mem 1493/3928MB
step 11,750 | loss 4.7464 | lr 1.61e-04 | 1341 tok/s | fwd_bwd 6ms clip 20ms optim 111ms step 6086ms mem 1452/3928MB
step 11,760 | loss 4.3187 | lr 1.60e-04 | 1345 tok/s | fwd_bwd 13ms clip 20ms optim 111ms step 6078ms mem 1493/3928MB
step 11,770 | loss 4.4150 | lr 1.60e-04 | 1337 tok/s | fwd_bwd 10ms clip 20ms optim 111ms step 6106ms mem 1493/3928MB
step 11,780 | loss 3.8117 | lr 1.60e-04 | 1340 tok/s | fwd_bwd 4ms clip 20ms optim 111ms step 6041ms mem 1493/3928MB
step 11,790 | loss 4.5793 | lr 1.60e-04 | 1342 tok/s | fwd_bwd 11ms clip 20ms optim 110ms step 6072ms mem 1493/3928MB
step 11,800 | loss 5.1086 | lr 1.60e-04 | 1346 tok/s | fwd_bwd 8ms clip 20ms optim 111ms step 6099ms mem 1452/3928MB
step 11,810 | loss 3.4996 | lr 1.59e-04 | 1344 tok/s | fwd_bwd 9ms clip 20ms optim 111ms step 6087ms mem 1452/3928MB
step 11,820 | loss 5.3584 | lr 1.59e-04 | 1343 tok/s | fwd_bwd 6ms clip 20ms optim 111ms step 6090ms mem 1493/3928MB
step 11,830 | loss 4.3857 | lr 1.59e-04 | 1342 tok/s | fwd_bwd 15ms clip 20ms optim 111ms step 6098ms mem 1493/3928MB
step 11,840 | loss 4.4440 | lr 1.59e-04 | 1342 tok/s | fwd_bwd 15ms clip 20ms optim 111ms step 6085ms mem 1452/3928MB
step 11,850 | loss 4.2289 | lr 1.59e-04 | 1345 tok/s | fwd_bwd 5ms clip 20ms optim 111ms step 6085ms mem 1452/3928MB
step 11,860 | loss 4.3768 | lr 1.59e-04 | 1346 tok/s | fwd_bwd 6ms clip 20ms optim 111ms step 6090ms mem 1493/3928MB
step 11,870 | loss 4.7452 | lr 1.58e-04 | 1344 tok/s | fwd_bwd 10ms clip 20ms optim 111ms step 6084ms mem 1493/3928MB
step 11,880 | loss 4.3008 | lr 1.58e-04 | 1343 tok/s | fwd_bwd 6ms clip 20ms optim 111ms step 6111ms mem 1493/3928MB
step 11,890 | loss 4.3209 | lr 1.58e-04 | 1342 tok/s | fwd_bwd 10ms clip 20ms optim 111ms step 6086ms mem 1493/3928MB
step 11,900 | loss 3.7316 | lr 1.58e-04 | 1342 tok/s | fwd_bwd 4ms clip 20ms optim 111ms step 6106ms mem 1493/3928MB
step 11,910 | loss 4.5299 | lr 1.58e-04 | 1343 tok/s | fwd_bwd 3ms clip 20ms optim 111ms step 6090ms mem 1493/3928MB
step 11,920 | loss 4.6949 | lr 1.57e-04 | 1343 tok/s | fwd_bwd 8ms clip 20ms optim 111ms step 6074ms mem 1493/3928MB
step 11,930 | loss 4.7022 | lr 1.57e-04 | 1348 tok/s | fwd_bwd 5ms clip 20ms optim 111ms step 6059ms mem 1452/3928MB
step 11,940 | loss 4.4093 | lr 1.57e-04 | 1347 tok/s | fwd_bwd 6ms clip 20ms optim 111ms step 6074ms mem 1493/3928MB
step 11,950 | loss 4.8661 | lr 1.57e-04 | 1348 tok/s | fwd_bwd 10ms clip 20ms optim 112ms step 6054ms mem 1493/3928MB
step 11,960 | loss 4.0500 | lr 1.57e-04 | 1348 tok/s | fwd_bwd 4ms clip 20ms optim 111ms step 6066ms mem 1493/3928MB
step 11,970 | loss 4.1561 | lr 1.56e-04 | 1342 tok/s | fwd_bwd 11ms clip 20ms optim 111ms step 6076ms mem 1452/3928MB
step 11,980 | loss 4.6034 | lr 1.56e-04 | 1345 tok/s | fwd_bwd 6ms clip 20ms optim 111ms step 6064ms mem 1493/3928MB
step 11,990 | loss 4.2237 | lr 1.56e-04 | 1350 tok/s | fwd_bwd 15ms clip 20ms optim 111ms step 6039ms mem 1493/3928MB
step 12,000 | loss 4.4407 | lr 1.56e-04 | 1351 tok/s | fwd_bwd 17ms clip 20ms optim 111ms step 6067ms mem 1451/3928MB
  [eval] step 12000 | val_loss 4.5736 | ppl 96.89
Checkpoint saved: checkpoints/step_012000
  [samples] wrote checkpoints/step_012000/samples.txt
step 12,010 | loss 4.5640 | lr 1.56e-04 | 469 tok/s | fwd_bwd 12ms clip 20ms optim 111ms step 6072ms mem 1452/3928MB
step 12,020 | loss 4.0082 | lr 1.55e-04 | 1336 tok/s | fwd_bwd 12ms clip 20ms optim 111ms step 6070ms mem 1493/3928MB
step 12,030 | loss 1.6218 | lr 1.55e-04 | 1348 tok/s | fwd_bwd 5ms clip 20ms optim 111ms step 6054ms mem 1451/3928MB
step 12,040 | loss 4.4753 | lr 1.55e-04 | 1351 tok/s | fwd_bwd 10ms clip 20ms optim 111ms step 6034ms mem 1493/3928MB
step 12,050 | loss 4.2575 | lr 1.55e-04 | 1351 tok/s | fwd_bwd 8ms clip 20ms optim 111ms step 6056ms mem 1452/3928MB
step 12,060 | loss 4.7876 | lr 1.55e-04 | 1345 tok/s | fwd_bwd 9ms clip 20ms optim 112ms step 6072ms mem 1451/3928MB
step 12,070 | loss 4.4760 | lr 1.54e-04 | 1349 tok/s | fwd_bwd 8ms clip 20ms optim 111ms step 6051ms mem 1493/3928MB
step 12,080 | loss 4.6167 | lr 1.54e-04 | 1347 tok/s | fwd_bwd 8ms clip 20ms optim 111ms step 6070ms mem 1493/3928MB
step 12,090 | loss 4.1930 | lr 1.54e-04 | 1350 tok/s | fwd_bwd 6ms clip 20ms optim 111ms step 6041ms mem 1452/3928MB
step 12,100 | loss 4.2003 | lr 1.54e-04 | 1353 tok/s | fwd_bwd 7ms clip 20ms optim 111ms step 6053ms mem 1493/3928MB
step 12,110 | loss 4.3421 | lr 1.54e-04 | 1355 tok/s | fwd_bwd 10ms clip 20ms optim 111ms step 6036ms mem 1493/3928MB
step 12,120 | loss 4.6489 | lr 1.53e-04 | 1354 tok/s | fwd_bwd 5ms clip 20ms optim 111ms step 6053ms mem 1493/3928MB
Checkpoint saved: checkpoints/step_012123
step 12,130 | loss 4.5517 | lr 1.53e-04 | 1332 tok/s | fwd_bwd 9ms clip 23ms optim 118ms step 6293ms mem 1493/3928MB
step 12,140 | loss 4.2947 | lr 1.53e-04 | 1131 tok/s | fwd_bwd 19ms clip 22ms optim 121ms step 6251ms mem 1448/3928MB
step 12,150 | loss 4.1175 | lr 1.53e-04 | 1179 tok/s | fwd_bwd 6ms clip 34ms optim 190ms step 8434ms mem 1448/3928MB
step 12,160 | loss 4.1479 | lr 1.53e-04 | 1081 tok/s | fwd_bwd 6ms clip 21ms optim 115ms step 7634ms mem 1493/3928MB
step 12,170 | loss 4.7112 | lr 1.52e-04 | 1311 tok/s | fwd_bwd 20ms clip 23ms optim 121ms step 6226ms mem 1452/3928MB
step 12,180 | loss 4.2588 | lr 1.52e-04 | 1339 tok/s | fwd_bwd 8ms clip 20ms optim 111ms step 6081ms mem 1452/3928MB
step 12,190 | loss 4.3598 | lr 1.52e-04 | 1341 tok/s | fwd_bwd 12ms clip 20ms optim 112ms step 6065ms mem 1493/3928MB
step 12,200 | loss 4.3088 | lr 1.52e-04 | 1343 tok/s | fwd_bwd 11ms clip 20ms optim 111ms step 6094ms mem 1493/3928MB
step 12,210 | loss 4.6552 | lr 1.52e-04 | 1343 tok/s | fwd_bwd 17ms clip 20ms optim 111ms step 6066ms mem 1493/3928MB
step 12,220 | loss 4.1306 | lr 1.52e-04 | 1343 tok/s | fwd_bwd 13ms clip 20ms optim 111ms step 5987ms mem 1493/3928MB
step 12,230 | loss 4.3596 | lr 1.51e-04 | 1344 tok/s | fwd_bwd 8ms clip 20ms optim 111ms step 6089ms mem 1493/3928MB
step 12,240 | loss 4.6325 | lr 1.51e-04 | 1337 tok/s | fwd_bwd 6ms clip 20ms optim 111ms step 6106ms mem 1493/3928MB
step 12,250 | loss 4.4241 | lr 1.51e-04 | 1337 tok/s | fwd_bwd 13ms clip 20ms optim 111ms step 6034ms mem 1493/3928MB
step 12,260 | loss 4.6792 | lr 1.51e-04 | 1345 tok/s | fwd_bwd 5ms clip 20ms optim 111ms step 6072ms mem 1493/3928MB
step 12,270 | loss 5.0633 | lr 1.51e-04 | 1344 tok/s | fwd_bwd 15ms clip 20ms optim 111ms step 5980ms mem 1493/3928MB
step 12,280 | loss 4.9143 | lr 1.50e-04 | 1339 tok/s | fwd_bwd 8ms clip 20ms optim 112ms step 6115ms mem 1493/3928MB
step 12,290 | loss 4.6852 | lr 1.50e-04 | 1340 tok/s | fwd_bwd 8ms clip 20ms optim 111ms step 6104ms mem 1493/3928MB
step 12,300 | loss 4.5843 | lr 1.50e-04 | 1339 tok/s | fwd_bwd 18ms clip 20ms optim 111ms step 6132ms mem 1493/3928MB
step 12,310 | loss 4.6754 | lr 1.50e-04 | 1341 tok/s | fwd_bwd 15ms clip 20ms optim 111ms step 6100ms mem 1493/3928MB
step 12,320 | loss 4.9494 | lr 1.50e-04 | 1334 tok/s | fwd_bwd 6ms clip 20ms optim 112ms step 6410ms mem 1493/3928MB
step 12,330 | loss 4.0739 | lr 1.49e-04 | 1338 tok/s | fwd_bwd 6ms clip 20ms optim 111ms step 6085ms mem 1452/3928MB
step 12,340 | loss 4.6936 | lr 1.49e-04 | 1338 tok/s | fwd_bwd 19ms clip 20ms optim 111ms step 6072ms mem 1493/3928MB
step 12,350 | loss 4.6849 | lr 1.49e-04 | 1352 tok/s | fwd_bwd 16ms clip 20ms optim 111ms step 6029ms mem 1493/3928MB
step 12,360 | loss 5.3911 | lr 1.49e-04 | 1358 tok/s | fwd_bwd 6ms clip 20ms optim 111ms step 6005ms mem 1493/3928MB
step 12,370 | loss 4.0352 | lr 1.49e-04 | 1358 tok/s | fwd_bwd 17ms clip 23ms optim 119ms step 6007ms mem 1493/3928MB
step 12,380 | loss 4.4899 | lr 1.48e-04 | 1364 tok/s | fwd_bwd 20ms clip 23ms optim 119ms step 6050ms mem 1493/3928MB
step 12,390 | loss 4.2263 | lr 1.48e-04 | 1361 tok/s | fwd_bwd 19ms clip 23ms optim 119ms step 6001ms mem 1493/3928MB
step 12,400 | loss 4.6008 | lr 1.48e-04 | 1367 tok/s | fwd_bwd 8ms clip 20ms optim 111ms step 5987ms mem 1448/3928MB
step 12,410 | loss 4.2614 | lr 1.48e-04 | 1367 tok/s | fwd_bwd 12ms clip 20ms optim 110ms step 5970ms mem 1493/3928MB
step 12,420 | loss 3.8383 | lr 1.48e-04 | 1361 tok/s | fwd_bwd 13ms clip 20ms optim 111ms step 5972ms mem 1493/3928MB
step 12,430 | loss 4.0056 | lr 1.47e-04 | 1354 tok/s | fwd_bwd 8ms clip 20ms optim 111ms step 5973ms mem 1493/3928MB
step 12,440 | loss 3.3135 | lr 1.47e-04 | 1363 tok/s | fwd_bwd 15ms clip 20ms optim 111ms step 5990ms mem 1493/3928MB
step 12,450 | loss 4.1240 | lr 1.47e-04 | 1360 tok/s | fwd_bwd 20ms clip 23ms optim 119ms step 6006ms mem 1493/3928MB
step 12,460 | loss 4.8670 | lr 1.47e-04 | 1366 tok/s | fwd_bwd 5ms clip 20ms optim 111ms step 5996ms mem 1493/3928MB
step 12,470 | loss 4.7974 | lr 1.47e-04 | 1364 tok/s | fwd_bwd 19ms clip 23ms optim 119ms step 5970ms mem 1493/3928MB
step 12,480 | loss 4.2831 | lr 1.46e-04 | 1369 tok/s | fwd_bwd 8ms clip 20ms optim 112ms step 5977ms mem 1493/3928MB
step 12,490 | loss 4.0703 | lr 1.46e-04 | 1365 tok/s | fwd_bwd 17ms clip 21ms optim 115ms step 6004ms mem 1493/3928MB
step 12,500 | loss 4.9344 | lr 1.46e-04 | 1370 tok/s | fwd_bwd 8ms clip 20ms optim 111ms step 5956ms mem 1452/3928MB
  [eval] step 12500 | val_loss 4.6143 | ppl 100.92
step 12,510 | loss 4.4839 | lr 1.46e-04 | 535 tok/s | fwd_bwd 20ms clip 23ms optim 121ms step 6017ms mem 1493/3928MB
step 12,520 | loss 4.6963 | lr 1.46e-04 | 1364 tok/s | fwd_bwd 10ms clip 20ms optim 112ms step 5989ms mem 1493/3928MB
step 12,530 | loss 4.5567 | lr 1.45e-04 | 1358 tok/s | fwd_bwd 13ms clip 20ms optim 111ms step 6029ms mem 1493/3928MB
step 12,540 | loss 4.5107 | lr 1.45e-04 | 1353 tok/s | fwd_bwd 3ms clip 20ms optim 111ms step 6053ms mem 1493/3928MB
step 12,550 | loss 4.4087 | lr 1.45e-04 | 1350 tok/s | fwd_bwd 9ms clip 20ms optim 111ms step 6076ms mem 1493/3928MB
step 12,560 | loss 4.1039 | lr 1.45e-04 | 1345 tok/s | fwd_bwd 11ms clip 20ms optim 111ms step 6083ms mem 1493/3928MB
step 12,570 | loss 4.6866 | lr 1.45e-04 | 1345 tok/s | fwd_bwd 6ms clip 20ms optim 111ms step 6067ms mem 1493/3928MB
step 12,580 | loss 4.6567 | lr 1.45e-04 | 1346 tok/s | fwd_bwd 10ms clip 20ms optim 111ms step 6080ms mem 1452/3928MB
step 12,590 | loss 4.7071 | lr 1.44e-04 | 1341 tok/s | fwd_bwd 6ms clip 20ms optim 111ms step 6094ms mem 1493/3928MB
step 12,600 | loss 4.3930 | lr 1.44e-04 | 1341 tok/s | fwd_bwd 20ms clip 23ms optim 121ms step 6196ms mem 1493/3928MB
step 12,610 | loss 4.6663 | lr 1.44e-04 | 1343 tok/s | fwd_bwd 18ms clip 23ms optim 120ms step 6167ms mem 1452/3928MB
step 12,620 | loss 4.3325 | lr 1.44e-04 | 1338 tok/s | fwd_bwd 19ms clip 23ms optim 120ms step 6185ms mem 1493/3928MB
step 12,630 | loss 4.5521 | lr 1.44e-04 | 1337 tok/s | fwd_bwd 8ms clip 20ms optim 111ms step 6096ms mem 1493/3928MB
step 12,640 | loss 4.8809 | lr 1.43e-04 | 1331 tok/s | fwd_bwd 8ms clip 20ms optim 111ms step 6159ms mem 1493/3928MB
step 12,650 | loss 4.6899 | lr 1.43e-04 | 1323 tok/s | fwd_bwd 15ms clip 20ms optim 111ms step 6189ms mem 1493/3928MB
step 12,660 | loss 4.6991 | lr 1.43e-04 | 1328 tok/s | fwd_bwd 11ms clip 20ms optim 112ms step 6154ms mem 1493/3928MB
step 12,670 | loss 4.1124 | lr 1.43e-04 | 1324 tok/s | fwd_bwd 19ms clip 23ms optim 121ms step 6242ms mem 1476/3928MB
step 12,680 | loss 4.3606 | lr 1.43e-04 | 1331 tok/s | fwd_bwd 10ms clip 20ms optim 112ms step 6138ms mem 1493/3928MB
step 12,690 | loss 5.1010 | lr 1.42e-04 | 1326 tok/s | fwd_bwd 6ms clip 20ms optim 111ms step 6149ms mem 1493/3928MB
Checkpoint saved: checkpoints/step_012694
