Policy from: checkpoints/step_351789
Ref from: baselines/pre_phase7d
Params: 189,748,992 | DPO beta=0.5 lr=1e-06 ga=4
Pairs: train 4000, eval 200
step 352,705 | loss 4.8108 | margin +6.610 | 4.0s/step
step 352,710 | loss 5.8709 | margin -5.223 | 4.1s/step
step 352,715 | loss 0.3910 | margin -0.304 | 4.6s/step
step 352,720 | loss 0.2699 | margin +13.516 | 4.1s/step
step 352,725 | loss 9.8274 | margin -5.032 | 4.1s/step
step 352,730 | loss 0.0000 | margin +28.878 | 4.7s/step
step 352,735 | loss 0.1033 | margin +0.908 | 4.7s/step
step 352,740 | loss 0.0028 | margin +15.364 | 4.1s/step
step 352,745 | loss 0.0013 | margin +8.226 | 4.0s/step
step 352,750 | loss 4.8908 | margin -0.333 | 4.1s/step
  [eval] step 352750 | loss 2.4385 | win-rate 51/100
Checkpoint saved: checkpoints/step_352750
  [samples] wrote checkpoints/step_352750/samples.txt
  Pruning old checkpoint: checkpoints/step_352000
step 352,755 | loss 2.5540 | margin +1.426 | 4.3s/step
step 352,760 | loss 6.1947 | margin -5.650 | 4.4s/step
step 352,765 | loss 0.1219 | margin +5.140 | 4.5s/step
step 352,770 | loss 0.4179 | margin -9.957 | 4.5s/step
step 352,775 | loss 2.3534 | margin -8.798 | 4.6s/step
step 352,780 | loss 0.0036 | margin -7.418 | 4.2s/step
step 352,785 | loss 0.0001 | margin -24.385 | 4.6s/step
Checkpoint saved: checkpoints/step_352789
  Pruning old checkpoint: checkpoints/step_352250

DPO complete at step 352789.
