Resuming from checkpoint: checkpoints/step_285847
  Resumed at step 285847

============================================================
  Unrealistic 187M — Training
  Parameters: 189,748,992
  Dtype: bfloat16
  Optimizer: AdamW (mlx)
  Micro-batch: 1 × 8 accum
  Effective batch: 8
  Memory: 536 MB
============================================================

step 287,280 | loss 0.1750 | lr 9.82e-05 | 1305 tok/s | fwd_bwd 3000ms data 1ms clip 24ms optim 123ms step 3169ms mem 1493/2439MB
step 287,290 | loss 0.2447 | lr 9.82e-05 | 1308 tok/s | fwd_bwd 2923ms data 1ms clip 20ms optim 112ms step 3070ms mem 1493/2439MB
step 287,300 | loss 4.0014 | lr 9.82e-05 | 1307 tok/s | fwd_bwd 2907ms data 1ms clip 20ms optim 112ms step 3056ms mem 1493/2439MB
step 287,310 | loss 0.3006 | lr 9.82e-05 | 1306 tok/s | fwd_bwd 2875ms data 1ms clip 20ms optim 112ms step 3020ms mem 1493/2439MB
step 287,320 | loss 0.3219 | lr 9.82e-05 | 1298 tok/s | fwd_bwd 2977ms data 1ms clip 24ms optim 121ms step 3145ms mem 1493/2439MB
step 287,330 | loss 0.2036 | lr 9.82e-05 | 1300 tok/s | fwd_bwd 2967ms data 1ms clip 24ms optim 122ms step 3136ms mem 1493/2439MB
step 287,340 | loss 0.3068 | lr 9.82e-05 | 1306 tok/s | fwd_bwd 2909ms data 0ms clip 20ms optim 113ms step 3049ms mem 1493/2439MB
step 287,350 | loss 0.2990 | lr 9.82e-05 | 1296 tok/s | fwd_bwd 3021ms data 1ms clip 24ms optim 121ms step 3187ms mem 1482/2439MB
step 287,360 | loss 0.2354 | lr 9.82e-05 | 1297 tok/s | fwd_bwd 3103ms data 1ms clip 23ms optim 125ms step 3273ms mem 1493/2439MB
step 287,370 | loss 0.3147 | lr 9.82e-05 | 1298 tok/s | fwd_bwd 3064ms data 1ms clip 23ms optim 120ms step 3229ms mem 1452/2439MB
